workload	timestamp	pit
11000	143550	12082.75
14000	143600	8467.333
19000	143650	5047.6
12000	143700	19242.5
18000	143750	9085.429
15000	143800	10010.9
17000	143850	20289.732
13000	143900	8959.667
16000	143950	14141.571
16000	144000	23859
17000	144050	8559.75
18000	144100	15439.474
19000	144150	7420
14000	144200	13367.167
18000	144250	17612.334
17000	144300	3655.0908
12000	144350	30616.334
12000	144400	12168.5
18000	144450	33613.668
14000	144500	3766.3845
20000	144550	15937.833
13000	144600	6407.6665
18000	144650	20548.857
20000	144700	12936.2
14000	144750	5240.2856
20000	144800	13659.818
19000	144850	2694.8572
15000	144900	24041.363
11000	144950	16943.857
18000	145000	19611.555
19000	145050	5298
13000	145100	2714.5454
11000	145150	4117.364
16000	145200	6730.1665
19000	145250	8055.364
18000	145300	7488
11000	145350	4292.778
19000	145400	32265.143
15000	145450	11067.75
14000	145500	3657.0908
20000	145550	6387.636
19000	145600	41396.875
16000	145650	11379.333
14000	145700	4176.8
13000	145750	43773
13000	145800	1545.8334
12000	145850	9134.77
16000	145900	5891.2
14000	145950	11153.4
11000	146000	14716.692
12000	146050	7396.8887
11000	146100	7938.125
19000	146150	3589.5
16000	146200	7094.5
17000	146250	12310.5
19000	146300	11653.5
20000	146350	4286.9
12000	146400	9821
16000	146450	31429.666
18000	146500	5475.6
12000	146550	15305.4
19000	146600	9907.2
10000	146650	13799.7
10000	146700	7849.909
12000	146750	4734
12000	146800	11714.375
20000	146850	5114.5
17000	146900	5362.9
17000	146950	6256.091
14000	147000	11248.385
16000	147050	11238.538
19000	147100	12634
16000	147150	10483.25
19000	147200	2508.25
17000	147250	3324.1428
14000	147300	4481.25
18000	147350	15614.667
15000	147400	3648.375
19000	147450	5604.923
13000	147500	14236
19000	147550	20334.9
18000	147600	13828.25
18000	147650	10839.375
18000	147700	2877.7144
19000	147750	19065.75
17000	147800	11125.4
14000	147850	9317.889
10000	147900	5641.7144
13000	147950	9087.714
11000	148000	3843
13000	148050	11167.571
11000	148100	12562.9
11000	148150	4323.3335
13000	148200	19662.6
